Temperature;Pressure;Altitude;AccX;AccY;AccZ
28.80;97320;339.17;3080;-212;14716
28.80;97335;338.31;2420;-8;14812
28.80;97333;336.76;1832;1080;14628
28.80;97340;336.68;2372;824;15152
28.80;97350;335.99;3204;2400;15824
28.80;97365;334.78;2632;3208;15256
28.80;97365;334.27;2556;4384;14200
28.80;97374;333.75;2904;4424;16164
28.80;97395;332.72;2508;4588;16208
28.80;97400;332.21;2368;-1132;17188
28.80;97415;330.57;2084;-3312;15792
28.80;97419;330.83;1996;-4824;16084
28.80;97417;330.57;2952;-4416;14572
28.80;97419;330.83;1860;-3528;17100
28.80;97428;329.54;1088;-2432;15572
28.80;97432;329.45;1768;-3088;14676
28.80;97431;329.28;2528;-712;14592
28.80;97436;328.85;2300;-1104;15772
28.80;97450;327.91;1708;-1084;15132
28.80;97458;328.25;2292;424;14992
28.80;97474;325.67;2152;3712;15560
28.80;97483;324.99;2948;4416;15852
28.80;97482;324.90;1940;7360;15912
28.80;97499;324.56;2968;1512;13908
28.80;97496;323.18;1032;-2164;13032
28.80;97517;322.15;1524;156;16508
28.80;97518;322.15;3224;-484;15072
28.80;97537;319.23;2452;-2944;16148
28.80;97542;319.15;2372;-3612;15984
28.80;97551;319.58;3304;-4720;15348
28.80;97551;318.72;1876;-4784;13580
28.80;97564;318.29;2556;-4084;15592
28.80;97562;317.86;2800;-4424;15780
28.80;97576;316.91;2676;-5524;15620
28.80;97578;316.31;2568;-4324;16672
28.80;97581;316.14;2160;-976;15088
28.80;97594;315.88;1880;696;16696
28.80;97597;315.62;1688;-448;15216
28.80;97598;313.82;2708;344;14148
28.80;97608;313.91;1384;596;15320
28.80;97608;314.08;1584;1768;16592
28.80;97627;312.88;2000;3112;14340
28.80;97624;312.11;2096;3576;11900
28.80;97636;312.88;2092;3576;15528
28.80;97654;310.56;2444;3000;14888
28.80;97635;310.65;884;764;16544
28.80;97668;309.28;1976;456;13608
28.80;97678;308.59;1952;-744;17952
28.80;97671;308.42;472;-1096;13872
28.80;97680;307.48;2296;-2996;15908
28.80;97686;308.08;1688;-2056;16164
28.80;97697;306.62;2408;-2548;14868
28.80;97696;306.28;1888;-1316;14668
28.80;97703;305.33;1584;2652;15428
28.80;97716;304.65;3136;4260;13408
28.80;97724;303.36;3788;3612;14552
28.80;97736;304.13;2648;2404;14936
28.80;97755;302.76;3896;-776;16968
28.90;97754;301.99;1864;-1276;15424
28.80;97761;300.02;3448;-2336;15836
28.90;97788;297.27;1888;-5120;17324
28.80;97794;298.30;3308;-4724;12952
28.90;97802;297.70;1760;-5220;14780
28.90;97803;297.36;1844;-260;15504
28.90;97802;297.36;3472;3004;15940
28.90;97812;297.45;932;3580;14892
28.90;97833;295.56;2284;2132;14324
28.90;97834;294.19;1464;-1460;16396
28.90;97849;293.93;1620;-1656;14588
28.90;97849;293.42;2460;-484;15560
28.90;97856;293.33;2016;504;15124
28.90;97867;292.39;832;-180;16456
28.90;97872;290.77;2480;-244;15440
28.90;97868;291.97;1524;-420;15020
28.90;97878;291.19;2712;136;16588
28.90;97900;289.31;1900;-1104;14644
28.90;97903;288.97;4924;-936;15244
28.90;97889;289.05;2084;-96;13376
28.90;97913;288.20;1240;-1404;14744
28.90;97904;288.03;3064;-2208;15644
28.90;97917;287.94;1548;-2760;15296
28.90;97927;286.91;2408;-212;15640
28.90;97931;286.15;2120;-584;16948
28.90;97946;285.20;2472;1120;13532
28.90;97968;282.89;1452;-368;16940
28.90;97961;284.52;2244;-1516;15168
28.90;97968;283.92;1248;-2168;15608
28.90;97962;283.41;2232;-824;16580
28.90;97970;282.64;1384;300;14504
28.90;97996;280.50;2128;-2536;14112
28.90;98001;280.75;1956;-3116;15648
28.90;98006;278.45;2580;-2360;15640
28.90;98032;277.50;3804;-884;14276
28.90;98037;277.59;2944;-536;15084
28.90;98059;275.96;3140;3184;16860
28.90;98066;274.94;2008;3104;15164
28.90;98085;272.63;3856;3480;14580
28.90;98086;273.06;2648;2244;16452
28.90;98096;272.46;1444;1124;16276
28.90;98107;270.07;3312;-1100;15284
28.90;98112;270.24;4872;-4;14144
28.90;98122;269.90;2820;-388;13868
28.90;98129;269.73;4776;-184;15236
28.90;98149;268.44;3856;1420;14132
28.90;98141;268.10;3064;2676;15924
28.90;98144;268.53;2132;4012;15008
28.90;98147;268.02;2280;2396;16008
28.90;98145;268.19;1708;4544;15452
28.90;98149;268.19;3148;6076;13956
28.90;98146;268.36;-1280;4528;15948
28.90;98142;268.27;-272;1024;14576
28.90;98142;268.36;-844;-184;15696
28.90;98136;268.53;1676;-1088;15152
28.90;98150;267.50;1048;-88;17668
28.90;98138;268.10;6020;128;11476
28.90;98148;268.44;-412;332;11136
28.90;98164;267.25;964;-1672;14968
28.90;98170;266.39;936;-2672;16548
28.90;98170;265.63;1868;-3444;14560
28.90;98178;265.20;436;-1736;14040
28.90;98190;264.68;2208;-76;15860
28.90;98191;263.57;1564;-356;14576
28.90;98202;263.32;2344;-1120;16120
28.90;98217;262.63;2820;-844;14992
28.90;98225;261.36;3300;-2200;16304
28.90;98248;259.05;4592;3552;13488
28.90;98247;258.79;2568;3452;15360
28.90;98267;257.51;1468;44;13620
28.90;98265;257.34;1112;16;15360
28.90;98281;256.58;1728;396;14056
28.90;98288;255.04;-2492;-556;17156
28.90;98303;254.10;6252;760;9660
28.90;98313;253.50;2960;-2232;15832
28.90;98346;251.54;5660;1200;15500
28.90;98363;250.69;4340;-2768;14700
28.90;98369;248.81;2820;-4636;15032
28.90;98385;247.28;2316;-4680;12204
28.90;98394;247.02;3608;-4524;17032
28.90;98404;245.83;3872;-3884;15900
28.90;98421;245.14;5524;820;9728
28.90;98432;244.04;3468;5312;15820
28.90;98424;242.76;2256;10364;15684
28.90;98440;242.84;1912;4480;15528
28.90;98448;242.67;892;2100;15812
28.90;98460;241.40;1060;-2712;12112
28.90;98462;240.97;2484;2088;18096
28.90;98466;240.46;3940;3092;15700
28.90;98482;239.18;5256;4620;14796
28.90;98494;238.07;2444;-3544;16004
28.90;98508;237.48;2668;-4748;16492
28.90;98517;235.94;3008;-6248;16004
28.90;98516;236.54;1764;-2784;15392
28.90;98521;236.54;1336;-844;16508
28.90;98511;236.29;504;-356;15820
28.90;98537;235.69;1676;-216;17512
28.90;98525;235.60;3600;-172;9360
28.90;98543;234.07;1644;-760;17440
28.90;98550;232.88;2980;-1828;17140
28.90;98568;231.86;2200;-760;16324
28.90;98563;232.62;2520;-1924;17792
28.90;98582;231.26;1692;-2060;16232
28.90;98596;231.18;3232;104;15980
28.90;98605;228.96;2692;3372;15932
28.90;98615;227.43;3144;3580;16956
28.90;98637;227.17;1824;3956;17320
28.90;98644;225.98;2972;2716;16472
28.90;98653;224.03;740;-684;15952
28.90;98664;223.94;2556;-1512;13308
29.00;98681;222.66;2312;-836;13312
29.00;98680;223.01;1292;-2348;15180
29.00;98699;221.56;4824;980;10952
29.00;98698;220.96;3080;352;13572
29.00;98702;221.05;224;-1272;15456
29.00;98726;219.69;1964;44;20932
29.00;98723;218.07;4208;-140;14920
29.00;98738;218.58;2988;-720;14300
29.00;98749;217.05;1644;-564;15920
29.00;98750;215.95;1128;972;16328
29.00;98776;214.67;3652;4744;16928
29.00;98782;214.08;492;4008;16436
29.00;98802;211.10;5932;4708;14012
29.00;98822;210.68;4884;-3212;19404
29.00;98837;209.32;3008;-4984;14452
29.00;98845;208.72;236;-2172;15428
29.00;98849;207.71;516;-6188;13256
29.00;98856;207.20;2768;-656;16388
29.00;98880;205.33;3204;1484;14468
29.00;98895;205.16;3948;820;15532
29.00;98901;203.54;3616;-5144;11040
29.00;98900;203.80;1028;-4844;15652
29.00;98905;203.54;2552;5748;20728
29.00;98917;202.27;972;-3576;13208
29.00;98927;201.51;2472;488;16420
29.00;98927;199.64;1140;-804;13400
29.00;98939;200.49;892;52;16252
29.00;98940;199.47;2256;-260;14260
29.00;98946;199.98;1064;184;15596
29.00;98958;199.13;3432;404;16660
29.00;98989;195.74;3328;444;15780
29.00;99002;194.63;5240;-312;10848
29.00;99009;194.38;3232;-24;14788
29.00;99013;194.46;3288;-776;14388
29.00;99035;193.19;1628;-732;15700
29.00;99026;193.19;2168;-704;12604
29.00;99039;191.24;6560;-1876;9304
29.00;99047;191.33;492;-652;14716
29.00;99052;190.39;324;28;18288
